dataID,Model,promptID,trueLabel,predLabel,rawOutput,passage
LLL.d0.s0_0,llama3.2:1b,EMO01,true,0,1: No,"In vivo studies of the activity of four of the kinases, KinA, KinC, KinD (ykvD) and KinE (ykrQ), using abrB transcription as an indicator of Spo0A~P level, revealed that PROTEIN1 and PROTEIN were responsible for PROTEIN2 production during the exponential phase of growth in the absence of KinA and KinB."
LLL.d0.s0_1,llama3.2:1b,EMO01,false,0,1: No,"In vivo studies of the activity of four of the kinases, KinA, KinC, KinD (ykvD) and KinE (ykrQ), using abrB transcription as an indicator of Spo0A~P level, revealed that PROTEIN1 and PROTEIN2 were responsible for PROTEIN production during the exponential phase of growth in the absence of KinA and KinB."
LLL.d0.s0_2,llama3.2:1b,EMO01,true,0,1: No,"In vivo studies of the activity of four of the kinases, KinA, KinC, KinD (ykvD) and KinE (ykrQ), using abrB transcription as an indicator of Spo0A~P level, revealed that PROTEIN and PROTEIN1 were responsible for PROTEIN2 production during the exponential phase of growth in the absence of KinA and KinB."
LLL.d1.s0_3,llama3.2:1b,EMO01,false,0,1: No,"In this mutant, expression of the PROTEIN gene, whose transcription depends on both PROTEIN1 and the phosphorylated PROTEIN2 protein, Spo0A~P, a major transcription factor during early stages of sporulation, was greatly reduced at 43 degrees C."
LLL.d1.s0_4,llama3.2:1b,EMO01,true,0,1: No,"In this mutant, expression of the PROTEIN1 gene, whose transcription depends on both PROTEIN and the phosphorylated PROTEIN2 protein, Spo0A~P, a major transcription factor during early stages of sporulation, was greatly reduced at 43 degrees C."
LLL.d1.s0_5,llama3.2:1b,EMO01,true,0,1: No,"In this mutant, expression of the PROTEIN1 gene, whose transcription depends on both PROTEIN2 and the phosphorylated PROTEIN protein, Spo0A~P, a major transcription factor during early stages of sporulation, was greatly reduced at 43 degrees C."
LLL.d10.s0_42,llama3.2:1b,EMO01,false,0,1: No,"The PROTEIN gene of Bacillus subtilis, encoding a catabolic glutamate dehydrogenase, is transcribed by PROTEIN1 containing RNA polymerase and requires for its expression PROTEIN2 a member of the NtrC/NifA family of proteins that bind to enhancer-like elements, called upstream activating sequences (UAS)."
LLL.d10.s0_43,llama3.2:1b,EMO01,true,0,1: No,"The PROTEIN1 gene of Bacillus subtilis, encoding a catabolic glutamate dehydrogenase, is transcribed by PROTEIN2 containing RNA polymerase and requires for its expression PROTEIN a member of the NtrC/NifA family of proteins that bind to enhancer-like elements, called upstream activating sequences (UAS)."
LLL.d10.s0_44,llama3.2:1b,EMO01,true,0,1: No,"The PROTEIN1 gene of Bacillus subtilis, encoding a catabolic glutamate dehydrogenase, is transcribed by PROTEIN containing RNA polymerase and requires for its expression PROTEIN2 a member of the NtrC/NifA family of proteins that bind to enhancer-like elements, called upstream activating sequences (UAS)."
LLL.d10.s1_45,llama3.2:1b,EMO01,true,0,1: No,"Unlike the case for other PROTEIN1 dependent genes, PROTEIN2 has no UAS; instead, its expression depends on a sequence located 1.5 kilobases downstream of the rocG promoter, beyond the end of the rocG coding region."
LLL.d12.s0_46,llama3.2:1b,EMO01,true,0,1: No,Northern blot and primer extension analyses indicated that PROTEIN1 is transcribed by PROTEIN2 during sporulation.
LLL.d12.s1_47,llama3.2:1b,EMO01,false,0,1: No,These results suggest that PROTEIN may act as a negative regulator for the transcription of PROTEIN PROTEIN1 PROTEIN2 and PROTEIN 
LLL.d12.s1_48,llama3.2:1b,EMO01,true,0,1: No,These results suggest that PROTEIN1 may act as a negative regulator for the transcription of PROTEIN PROTEIN2 PROTEIN and PROTEIN 
LLL.d12.s1_49,llama3.2:1b,EMO01,false,0,1: No,These results suggest that PROTEIN may act as a negative regulator for the transcription of PROTEIN PROTEIN1 PROTEIN and PROTEIN2 
LLL.d12.s1_50,llama3.2:1b,EMO01,false,0,1: No,These results suggest that PROTEIN may act as a negative regulator for the transcription of PROTEIN1 PROTEIN2 PROTEIN and PROTEIN 
LLL.d12.s1_51,llama3.2:1b,EMO01,true,0,1: No,These results suggest that PROTEIN1 may act as a negative regulator for the transcription of PROTEIN PROTEIN PROTEIN2 and PROTEIN 
LLL.d12.s1_52,llama3.2:1b,EMO01,false,0,1: No,These results suggest that PROTEIN may act as a negative regulator for the transcription of PROTEIN PROTEIN PROTEIN1 and PROTEIN2 
LLL.d12.s1_53,llama3.2:1b,EMO01,false,0,1: No,These results suggest that PROTEIN may act as a negative regulator for the transcription of PROTEIN1 PROTEIN PROTEIN2 and PROTEIN 
LLL.d12.s1_54,llama3.2:1b,EMO01,true,0,1: No,These results suggest that PROTEIN1 may act as a negative regulator for the transcription of PROTEIN PROTEIN PROTEIN and PROTEIN2 
LLL.d12.s1_55,llama3.2:1b,EMO01,true,0,1: No,These results suggest that PROTEIN1 may act as a negative regulator for the transcription of PROTEIN2 PROTEIN PROTEIN and PROTEIN 
LLL.d12.s1_56,llama3.2:1b,EMO01,false,0,1: No,These results suggest that PROTEIN may act as a negative regulator for the transcription of PROTEIN1 PROTEIN PROTEIN and PROTEIN2 
LLL.d14.s0_57,llama3.2:1b,EMO01,false,0,1: No,"The first stage, which involves the phosphatase function of PROTEIN depends on the cell division protein PROTEIN1 and could correspond to the PROTEIN dependent assembly of PROTEIN2 into E-rings."
LLL.d14.s0_58,llama3.2:1b,EMO01,false,0,1: No,"The first stage, which involves the phosphatase function of PROTEIN1 depends on the cell division protein PROTEIN and could correspond to the PROTEIN dependent assembly of PROTEIN2 into E-rings."
LLL.d14.s0_59,llama3.2:1b,EMO01,true,0,1: No,"The first stage, which involves the phosphatase function of PROTEIN depends on the cell division protein PROTEIN and could correspond to the PROTEIN1 dependent assembly of PROTEIN2 into E-rings."
LLL.d14.s0_60,llama3.2:1b,EMO01,true,0,1: No,"The first stage, which involves the phosphatase function of PROTEIN1 depends on the cell division protein PROTEIN2 and could correspond to the PROTEIN dependent assembly of PROTEIN into E-rings."
LLL.d14.s0_61,llama3.2:1b,EMO01,false,0,1: No,"The first stage, which involves the phosphatase function of PROTEIN depends on the cell division protein PROTEIN1 and could correspond to the PROTEIN2 dependent assembly of PROTEIN into E-rings."
LLL.d14.s0_62,llama3.2:1b,EMO01,false,0,1: No,"The first stage, which involves the phosphatase function of PROTEIN1 depends on the cell division protein PROTEIN and could correspond to the PROTEIN2 dependent assembly of PROTEIN into E-rings."
LLL.d14.s1_63,llama3.2:1b,EMO01,true,0,1: No,Evidence based on the use of modified and mutant forms of the phosphatase protein indicates that PROTEIN1 blocks the capacity of unphosphorylated PROTEIN2 to activate PROTEIN until formation of the polar septum is completed.
LLL.d14.s1_64,llama3.2:1b,EMO01,true,0,1: No,Evidence based on the use of modified and mutant forms of the phosphatase protein indicates that PROTEIN blocks the capacity of unphosphorylated PROTEIN1 to activate PROTEIN2 until formation of the polar septum is completed.
LLL.d14.s1_65,llama3.2:1b,EMO01,false,0,1: No,Evidence based on the use of modified and mutant forms of the phosphatase protein indicates that PROTEIN1 blocks the capacity of unphosphorylated PROTEIN to activate PROTEIN2 until formation of the polar septum is completed.
LLL.d14.s2_66,llama3.2:1b,EMO01,true,0,1: No,Cell-specific activation of transcription factor PROTEIN1 during sporulation in Bacillus subtilis requires the formation of the polar septum and the activity of a serine phosphatase ( PROTEIN2 located in the septum.
LLL.d14.s3_67,llama3.2:1b,EMO01,true,0,1: No,The PROTEIN1 phosphatase indirectly activates PROTEIN by dephosphorylating a protein ( PROTEIN2 in the pathway that controls the activity of the transcription factor.
LLL.d14.s3_68,llama3.2:1b,EMO01,true,0,1: No,The PROTEIN phosphatase indirectly activates PROTEIN1 by dephosphorylating a protein ( PROTEIN2 in the pathway that controls the activity of the transcription factor.
LLL.d14.s3_69,llama3.2:1b,EMO01,true,0,1: No,The PROTEIN1 phosphatase indirectly activates PROTEIN2 by dephosphorylating a protein ( PROTEIN in the pathway that controls the activity of the transcription factor.
LLL.d15.s0_70,llama3.2:1b,EMO01,true,0,1: No,Dephosphorylation of PROTEIN1 by PROTEIN2 is strictly dependent on the presence of the bivalent metal ions Mn2+ or Mg2+.
LLL.d16.s0_71,llama3.2:1b,EMO01,true,0,1: No,(i) The finding that the PROTEIN1 operon is under PROTEIN2 control indicates that the elimination of multidrug compounds might be a new function in multiple stress resistance.
LLL.d16.s1_72,llama3.2:1b,EMO01,true,0,1: No,"The PROTEIN1 gene might belong to the increasing number of PROTEIN2 dependent genes whose orthologues are under the control of sigmas in Escherichia coli, indicating that both regulons may fulfil similar functions."
LLL.d16.s2_73,llama3.2:1b,EMO01,true,0,1: No,Three new PROTEIN1 dependent genes ( PROTEIN2 PROTEIN and PROTEIN encoding proteins with still unknown functions were also described.
LLL.d16.s2_74,llama3.2:1b,EMO01,true,0,1: No,Three new PROTEIN1 dependent genes ( PROTEIN PROTEIN2 and PROTEIN encoding proteins with still unknown functions were also described.
LLL.d16.s2_75,llama3.2:1b,EMO01,true,0,1: No,Three new PROTEIN1 dependent genes ( PROTEIN PROTEIN and PROTEIN2 encoding proteins with still unknown functions were also described.
LLL.d16.s2_76,llama3.2:1b,EMO01,false,0,1: No,Three new PROTEIN dependent genes ( PROTEIN1 PROTEIN2 and PROTEIN encoding proteins with still unknown functions were also described.
LLL.d16.s2_77,llama3.2:1b,EMO01,false,0,1: No,Three new PROTEIN dependent genes ( PROTEIN1 PROTEIN and PROTEIN2 encoding proteins with still unknown functions were also described.
LLL.d16.s2_78,llama3.2:1b,EMO01,false,0,1: No,Three new PROTEIN dependent genes ( PROTEIN PROTEIN1 and PROTEIN2 encoding proteins with still unknown functions were also described.
LLL.d17.s0_79,llama3.2:1b,EMO01,true,0,1: No,"Cell specificity is first established in the forespore under the control of the PROTEIN1 factor, which is itself activated through the action of the PROTEIN2 serine phosphatase, an enzyme targeted to the septum between the two cells."
LLL.d18.s0_80,llama3.2:1b,EMO01,true,0,1: No,"Most PROTEIN genes, and the PROTEIN1 gene, are transcribed by PROTEIN2 RNA polymerase."
LLL.d18.s0_81,llama3.2:1b,EMO01,true,0,1: No,"Most PROTEIN1 genes, and the PROTEIN gene, are transcribed by PROTEIN2 RNA polymerase."
LLL.d18.s0_82,llama3.2:1b,EMO01,false,0,1: No,"Most PROTEIN1 genes, and the PROTEIN2 gene, are transcribed by PROTEIN RNA polymerase."
LLL.d18.s1_83,llama3.2:1b,EMO01,true,0,1: No,"Previously, it was shown that the PROTEIN1 protein inhibits transcription in vitro of the PROTEIN2 gene encoding sigmaK."
LLL.d18.s2_84,llama3.2:1b,EMO01,false,0,1: No,These results demonstrate that PROTEIN1 dependent transcription of PROTEIN initiates a negative feedback loop in which PROTEIN2 acts as a repressor to limit production of PROTEIN 
LLL.d18.s2_85,llama3.2:1b,EMO01,true,0,1: No,These results demonstrate that PROTEIN1 dependent transcription of PROTEIN2 initiates a negative feedback loop in which PROTEIN acts as a repressor to limit production of PROTEIN 
LLL.d18.s2_86,llama3.2:1b,EMO01,false,0,1: No,These results demonstrate that PROTEIN1 dependent transcription of PROTEIN initiates a negative feedback loop in which PROTEIN acts as a repressor to limit production of PROTEIN2 
LLL.d18.s2_87,llama3.2:1b,EMO01,false,0,1: No,These results demonstrate that PROTEIN dependent transcription of PROTEIN1 initiates a negative feedback loop in which PROTEIN2 acts as a repressor to limit production of PROTEIN 
LLL.d18.s2_88,llama3.2:1b,EMO01,true,0,1: No,These results demonstrate that PROTEIN dependent transcription of PROTEIN initiates a negative feedback loop in which PROTEIN1 acts as a repressor to limit production of PROTEIN2 
LLL.d18.s2_89,llama3.2:1b,EMO01,false,0,1: No,These results demonstrate that PROTEIN dependent transcription of PROTEIN1 initiates a negative feedback loop in which PROTEIN acts as a repressor to limit production of PROTEIN2 
LLL.d18.s3_90,llama3.2:1b,EMO01,true,0,1: No,"A low level of PROTEIN1 activated transcription of PROTEIN by PROTEIN2 RNA polymerase in vitro, but a higher level of PROTEIN repressed PROTEIN transcription."
LLL.d18.s3_91,llama3.2:1b,EMO01,false,0,1: No,"A low level of PROTEIN1 activated transcription of PROTEIN by PROTEIN RNA polymerase in vitro, but a higher level of PROTEIN repressed PROTEIN2 transcription."
LLL.d18.s3_92,llama3.2:1b,EMO01,false,0,1: No,"A low level of PROTEIN1 activated transcription of PROTEIN by PROTEIN RNA polymerase in vitro, but a higher level of PROTEIN2 repressed PROTEIN transcription."
LLL.d18.s3_93,llama3.2:1b,EMO01,true,0,1: No,"A low level of PROTEIN1 activated transcription of PROTEIN2 by PROTEIN RNA polymerase in vitro, but a higher level of PROTEIN repressed PROTEIN transcription."
LLL.d18.s3_94,llama3.2:1b,EMO01,false,0,1: No,"A low level of PROTEIN activated transcription of PROTEIN by PROTEIN1 RNA polymerase in vitro, but a higher level of PROTEIN repressed PROTEIN2 transcription."
LLL.d18.s3_95,llama3.2:1b,EMO01,false,0,1: No,"A low level of PROTEIN activated transcription of PROTEIN by PROTEIN1 RNA polymerase in vitro, but a higher level of PROTEIN2 repressed PROTEIN transcription."
LLL.d18.s3_96,llama3.2:1b,EMO01,true,0,1: No,"A low level of PROTEIN activated transcription of PROTEIN1 by PROTEIN2 RNA polymerase in vitro, but a higher level of PROTEIN repressed PROTEIN transcription."
LLL.d18.s3_97,llama3.2:1b,EMO01,true,0,1: No,"A low level of PROTEIN activated transcription of PROTEIN by PROTEIN RNA polymerase in vitro, but a higher level of PROTEIN1 repressed PROTEIN2 transcription."
LLL.d18.s3_98,llama3.2:1b,EMO01,false,0,1: No,"A low level of PROTEIN activated transcription of PROTEIN1 by PROTEIN RNA polymerase in vitro, but a higher level of PROTEIN repressed PROTEIN2 transcription."
LLL.d18.s3_99,llama3.2:1b,EMO01,false,0,1: No,"A low level of PROTEIN activated transcription of PROTEIN1 by PROTEIN RNA polymerase in vitro, but a higher level of PROTEIN2 repressed PROTEIN transcription."
LLL.d18.s4_100,llama3.2:1b,EMO01,true,0,1: No,"Here, we show that PROTEIN1 binds near the PROTEIN2 transcriptional start site, to act as a repressor."
LLL.d18.s5_101,llama3.2:1b,EMO01,true,0,1: No,We show that PROTEIN1 binds to two sites that span the -35 region of the PROTEIN2 promoter.
LLL.d18.s6_102,llama3.2:1b,EMO01,true,0,1: No,These results suggest that a rising level of PROTEIN1 in sporulating cells may first activate PROTEIN2 transcription from the upstream site then repress transcription as the downstream site becomes occupied.
LLL.d19.s0_103,llama3.2:1b,EMO01,true,0,1: No, PROTEIN1 transcription also requires the DNA binding protein PROTEIN2 
LLL.d19.s1_104,llama3.2:1b,EMO01,true,0,1: No,"In contrast, PROTEIN1 is transcribed in the forespore compartment by RNA polymerase with the forespore-specific PROTEIN2 and appears to give a monocistronic transcript."
LLL.d2.s0_6,llama3.2:1b,EMO01,true,0,1: No,Transcription of PROTEIN1 was dependent on PROTEIN2 and the mRNA was detectable from 2 h after the cessation of logarithmic growth (T2 of sporulation).
LLL.d2.s1_7,llama3.2:1b,EMO01,true,0,1: No, PROTEIN1 was transcribed by PROTEIN2 RNA polymerase from T4 of sporulation.
LLL.d2.s2_10,llama3.2:1b,EMO01,true,0,1: No,"Both PROTEIN and PROTEIN1 were essential for PROTEIN2 expression, and this gene was transcribed from T5 of sporulation."
LLL.d2.s2_8,llama3.2:1b,EMO01,true,0,1: No,"Both PROTEIN1 and PROTEIN were essential for PROTEIN2 expression, and this gene was transcribed from T5 of sporulation."
LLL.d2.s2_9,llama3.2:1b,EMO01,false,0,1: No,"Both PROTEIN1 and PROTEIN2 were essential for PROTEIN expression, and this gene was transcribed from T5 of sporulation."
LLL.d20.s0_105,llama3.2:1b,EMO01,true,0,1: No, PROTEIN1 negatively controls the transcription of PROTEIN by stimulating the transcription of PROTEIN2 PROTEIN thereby increasing the production of the PROTEIN antisigma factor that inhibits PROTEIN activity.
LLL.d20.s0_106,llama3.2:1b,EMO01,true,0,1: No, PROTEIN1 negatively controls the transcription of PROTEIN by stimulating the transcription of PROTEIN PROTEIN2 thereby increasing the production of the PROTEIN antisigma factor that inhibits PROTEIN activity.
LLL.d20.s0_107,llama3.2:1b,EMO01,false,0,1: No, PROTEIN1 negatively controls the transcription of PROTEIN by stimulating the transcription of PROTEIN PROTEIN thereby increasing the production of the PROTEIN antisigma factor that inhibits PROTEIN2 activity.
LLL.d20.s0_108,llama3.2:1b,EMO01,true,0,1: No, PROTEIN1 negatively controls the transcription of PROTEIN2 by stimulating the transcription of PROTEIN PROTEIN thereby increasing the production of the PROTEIN antisigma factor that inhibits PROTEIN activity.
LLL.d20.s0_109,llama3.2:1b,EMO01,true,0,1: No, PROTEIN1 negatively controls the transcription of PROTEIN by stimulating the transcription of PROTEIN PROTEIN thereby increasing the production of the PROTEIN2 antisigma factor that inhibits PROTEIN activity.
LLL.d20.s0_110,llama3.2:1b,EMO01,false,0,1: No, PROTEIN negatively controls the transcription of PROTEIN by stimulating the transcription of PROTEIN1 PROTEIN2 thereby increasing the production of the PROTEIN antisigma factor that inhibits PROTEIN activity.
LLL.d20.s0_111,llama3.2:1b,EMO01,false,0,1: No, PROTEIN negatively controls the transcription of PROTEIN by stimulating the transcription of PROTEIN1 PROTEIN thereby increasing the production of the PROTEIN antisigma factor that inhibits PROTEIN2 activity.
LLL.d20.s0_112,llama3.2:1b,EMO01,false,0,1: No, PROTEIN negatively controls the transcription of PROTEIN1 by stimulating the transcription of PROTEIN2 PROTEIN thereby increasing the production of the PROTEIN antisigma factor that inhibits PROTEIN activity.
LLL.d20.s0_113,llama3.2:1b,EMO01,false,0,1: No, PROTEIN negatively controls the transcription of PROTEIN by stimulating the transcription of PROTEIN1 PROTEIN thereby increasing the production of the PROTEIN2 antisigma factor that inhibits PROTEIN activity.
LLL.d20.s0_114,llama3.2:1b,EMO01,false,0,1: No, PROTEIN negatively controls the transcription of PROTEIN by stimulating the transcription of PROTEIN PROTEIN1 thereby increasing the production of the PROTEIN antisigma factor that inhibits PROTEIN2 activity.
LLL.d20.s0_115,llama3.2:1b,EMO01,false,0,1: No, PROTEIN negatively controls the transcription of PROTEIN1 by stimulating the transcription of PROTEIN PROTEIN2 thereby increasing the production of the PROTEIN antisigma factor that inhibits PROTEIN activity.
LLL.d20.s0_116,llama3.2:1b,EMO01,false,0,1: No, PROTEIN negatively controls the transcription of PROTEIN by stimulating the transcription of PROTEIN PROTEIN1 thereby increasing the production of the PROTEIN2 antisigma factor that inhibits PROTEIN activity.
LLL.d20.s0_117,llama3.2:1b,EMO01,false,0,1: No, PROTEIN negatively controls the transcription of PROTEIN1 by stimulating the transcription of PROTEIN PROTEIN thereby increasing the production of the PROTEIN antisigma factor that inhibits PROTEIN2 activity.
LLL.d20.s0_118,llama3.2:1b,EMO01,true,0,1: No, PROTEIN negatively controls the transcription of PROTEIN by stimulating the transcription of PROTEIN PROTEIN thereby increasing the production of the PROTEIN1 antisigma factor that inhibits PROTEIN2 activity.
LLL.d20.s0_119,llama3.2:1b,EMO01,false,0,1: No, PROTEIN negatively controls the transcription of PROTEIN1 by stimulating the transcription of PROTEIN PROTEIN thereby increasing the production of the PROTEIN2 antisigma factor that inhibits PROTEIN activity.
LLL.d21.s0_120,llama3.2:1b,EMO01,true,0,1: No,This stress-induced increase in PROTEIN1 expression is absolutely dependent on the alternative sigma factor PROTEIN2 which controls a large stationary-phase and stress regulon.
LLL.d22.s0_121,llama3.2:1b,EMO01,true,0,1: No, PROTEIN1 also contributes to the expression of PROTEIN2 a putative membrane-bound glucosyl transferase that is partially controlled by the PROTEIN stress response sigma factor.
LLL.d22.s0_122,llama3.2:1b,EMO01,true,0,1: No, PROTEIN also contributes to the expression of PROTEIN1 a putative membrane-bound glucosyl transferase that is partially controlled by the PROTEIN2 stress response sigma factor.
LLL.d22.s0_123,llama3.2:1b,EMO01,false,0,1: No, PROTEIN1 also contributes to the expression of PROTEIN a putative membrane-bound glucosyl transferase that is partially controlled by the PROTEIN2 stress response sigma factor.
LLL.d23.s0_124,llama3.2:1b,EMO01,true,0,1: No,"Transcriptional studies showed that PROTEIN1 is strongly induced in response to heat, ethanol and salt stress or after starvation for glucose in a PROTEIN2 dependent manner."
LLL.d24.s0_125,llama3.2:1b,EMO01,true,0,1: No,"Furthermore, PROTEIN1 and PROTEIN seemed to be induced after phosphate starvation in the wild type in a PROTEIN2 dependent manner and in the sigB mutant probably via PROTEIN "
LLL.d24.s0_126,llama3.2:1b,EMO01,true,0,1: No,"Furthermore, PROTEIN1 and PROTEIN seemed to be induced after phosphate starvation in the wild type in a PROTEIN dependent manner and in the sigB mutant probably via PROTEIN2 "
LLL.d24.s0_127,llama3.2:1b,EMO01,false,0,1: No,"Furthermore, PROTEIN1 and PROTEIN2 seemed to be induced after phosphate starvation in the wild type in a PROTEIN dependent manner and in the sigB mutant probably via PROTEIN "
LLL.d24.s0_128,llama3.2:1b,EMO01,false,0,1: No,"Furthermore, PROTEIN and PROTEIN seemed to be induced after phosphate starvation in the wild type in a PROTEIN1 dependent manner and in the sigB mutant probably via PROTEIN2 "
LLL.d24.s0_129,llama3.2:1b,EMO01,true,0,1: No,"Furthermore, PROTEIN and PROTEIN1 seemed to be induced after phosphate starvation in the wild type in a PROTEIN2 dependent manner and in the sigB mutant probably via PROTEIN "
LLL.d24.s0_130,llama3.2:1b,EMO01,true,0,1: No,"Furthermore, PROTEIN and PROTEIN1 seemed to be induced after phosphate starvation in the wild type in a PROTEIN dependent manner and in the sigB mutant probably via PROTEIN2 "
LLL.d25.s0_131,llama3.2:1b,EMO01,true,0,1: No,The expression of the PROTEIN1 operon was induced by the presence of isoleucine or valine in the growth medium and depended upon the presence of the sigma factor PROTEIN2 a member of the sigma 54 family.
LLL.d26.s0_132,llama3.2:1b,EMO01,true,0,1: No,From these results we conclude that PROTEIN1 negatively regulates PROTEIN2 expression by preventing PROTEIN driven transcription of PROTEIN possibly through interaction with the control region.
LLL.d26.s0_133,llama3.2:1b,EMO01,false,0,1: No,From these results we conclude that PROTEIN negatively regulates PROTEIN1 expression by preventing PROTEIN2 driven transcription of PROTEIN possibly through interaction with the control region.
LLL.d26.s0_134,llama3.2:1b,EMO01,false,0,1: No,From these results we conclude that PROTEIN negatively regulates PROTEIN1 expression by preventing PROTEIN driven transcription of PROTEIN2 possibly through interaction with the control region.
LLL.d26.s0_135,llama3.2:1b,EMO01,true,0,1: No,From these results we conclude that PROTEIN1 negatively regulates PROTEIN expression by preventing PROTEIN2 driven transcription of PROTEIN possibly through interaction with the control region.
LLL.d26.s0_136,llama3.2:1b,EMO01,true,0,1: No,From these results we conclude that PROTEIN1 negatively regulates PROTEIN expression by preventing PROTEIN driven transcription of PROTEIN2 possibly through interaction with the control region.
LLL.d26.s0_137,llama3.2:1b,EMO01,true,0,1: No,From these results we conclude that PROTEIN negatively regulates PROTEIN expression by preventing PROTEIN1 driven transcription of PROTEIN2 possibly through interaction with the control region.
LLL.d26.s1_138,llama3.2:1b,EMO01,true,0,1: No,"We have shown previously that the transcription of PROTEIN1 is driven by an alternative sigma factor, PROTEIN2 "
LLL.d27.s0_139,llama3.2:1b,EMO01,false,0,1: No,"DNase I footprinting showed that PROTEIN binds strongly to two sites in the PROTEIN1 promoter region, binds weakly to one site in the PROTEIN2 promoter, and does not bind specifically to PROTEIN "
LLL.d27.s0_140,llama3.2:1b,EMO01,true,0,1: No,"DNase I footprinting showed that PROTEIN1 binds strongly to two sites in the PROTEIN promoter region, binds weakly to one site in the PROTEIN2 promoter, and does not bind specifically to PROTEIN "
LLL.d27.s0_141,llama3.2:1b,EMO01,false,0,1: No,"DNase I footprinting showed that PROTEIN binds strongly to two sites in the PROTEIN promoter region, binds weakly to one site in the PROTEIN1 promoter, and does not bind specifically to PROTEIN2 "
LLL.d27.s0_142,llama3.2:1b,EMO01,true,0,1: No,"DNase I footprinting showed that PROTEIN1 binds strongly to two sites in the PROTEIN2 promoter region, binds weakly to one site in the PROTEIN promoter, and does not bind specifically to PROTEIN "
LLL.d27.s0_143,llama3.2:1b,EMO01,false,0,1: No,"DNase I footprinting showed that PROTEIN binds strongly to two sites in the PROTEIN1 promoter region, binds weakly to one site in the PROTEIN promoter, and does not bind specifically to PROTEIN2 "
LLL.d27.s0_144,llama3.2:1b,EMO01,true,0,1: No,"DNase I footprinting showed that PROTEIN1 binds strongly to two sites in the PROTEIN promoter region, binds weakly to one site in the PROTEIN promoter, and does not bind specifically to PROTEIN2 "
LLL.d27.s1_145,llama3.2:1b,EMO01,false,0,1: No,"Transcription of the PROTEIN PROTEIN and PROTEIN genes by final PROTEIN1 RNA polymerase is activated by a small, DNA-binding protein called PROTEIN2 "
LLL.d27.s1_146,llama3.2:1b,EMO01,true,0,1: No,"Transcription of the PROTEIN PROTEIN1 and PROTEIN genes by final PROTEIN2 RNA polymerase is activated by a small, DNA-binding protein called PROTEIN "
